HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
51054000,"WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED (INCLUDING COMBED WOOL IN FRAGMENTS) COARSE ANIMAL HAIR, CARDED OR COMBED",5%,,01/07/2017,
5106,"YARN OF CARDED WOOL, NOT PUT UP FOR RETAIL SALE",5%,,01/07/2017,
510610,CONTAINING 85% OR MORE BY WEIGHT OF WOOL,5%,,01/07/2017,
51061010,"YARN OF CARDED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING 85 PERCENT OR MORE BY WEIGHT OF WOOL : SHODDY WOOLLEN YARN",5%,,01/07/2017,
51061020,"YARN OF CARDED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING 85 PERCENT OR MORE BY WEIGHT OF WOOL : MUNGA WOOLLEN YARN",5%,,01/07/2017,
51061090,"YARN OF CARDED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING 85 PERCENT OR MORE BY WEIGHT OF WOOL : OTHER",5%,,01/07/2017,
510620,CONTAINING LESS THAN 85% BY WEIGHT OF WOOL,5%,,01/07/2017,
51062010,"YARN OF CARDED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING LESS THAN 85 PERCENT BY WEIGHT OF WOOL : SHODDY WOOLLEN YARN",5%,,01/07/2017,
51062020,"YARN OF CARDED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING LESS THAN 85 PERCENT BY WEIGHT OF WOOL : MUNGA WOOLLEN YARN",5%,,01/07/2017,
51062090,"YARN OF CARDED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING LESS THAN 85 PERCENT BY WEIGHT OF WOOL : OTHER",5%,,01/07/2017,
5107,"YARN OF COMBED WOOL, NOT PUT UP FOR RETAIL SALE",5%,,01/07/2017,
510710,CONTAINING 85% OR MORE BY WEIGHT OF WOOL,5%,,01/07/2017,
51071010,"YARN OF COMBED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING 85 PERCENT OR MORE BY WEIGHT OF WOOL : WORSTED HOSIERY YARN",5%,,01/07/2017,
51071020,"YARN OF COMBED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING 85 PERCENT OR MORE BY WEIGHT OF WOOL : WORSTED KNITTED YARN",5%,,01/07/2017,
51071030,"YARN OF COMBED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING 85 PERCENT OR MORE BY WEIGHT OF WOOL : WORSTED WEAVING YARN",5%,,01/07/2017,
51071040,"YARN OF COMBED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING 85 PERCENT OR MORE BY WEIGHT OF WOOL : WOOLLEN CARPET YARN",5%,,01/07/2017,
51071090,"YARN OF COMBED WOOL, NOT PUT UP FOR RETAIL SALE CONTAINING 85 PERCENT OR MORE BY WEIGHT OF WOOL : OTHER",5%,,01/07/2017,
510720,CONTAINING LESS THAN 85% BY WEIGHT OF WOOL,5%,,01/07/2017,
