HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
6303,CURTAINS (INCLUDING DRAPES) AND INTERIOR BLINDS; CURTAIN OR BED VALANCES - KNITTED OR CROCHETED :(sale value not exceeding Rs. 1000 per piece),5%,,01/07/2017,
6303,CURTAINS (INCLUDING DRAPES) AND INTERIOR BLINDS; CURTAIN OR BED VALANCES - KNITTED OR CROCHETED :(sale value exceeding Rs. 1000 per piece),12%,,15/11/2017        1/07/2017,
63031100,CURTAINS (INCLUDING DRAPES) AND INTERIOR BLINDS; CURTAIN OR BED VALANCES KNITTED OR CROCHETED: OF COTTON,12%,,15/11/2017        1/07/2017,
63031200,CURTAINS (INCLUDING DRAPES) AND INTERIOR BLINDS; CURTAIN OR BED VALANCES KNITTED OR CROCHETED: OF SYNTHETIC FIBRES,12%,,15/11/2017        1/07/2017,
63031900,CURTAINS (INCLUDING DRAPES) AND INTERIOR BLINDS; CURTAIN OR BED VALANCES KNITTED OR CROCHETED: OF OTHER TEXTILE MATERIALS,12%,,15/11/2017        1/07/2017,
63039100,CURTAINS (INCLUDING DRAPES) AND INTERIOR BLINDS; CURTAIN OR BED VALANCES OTHER: OF COTTON,12%,,15/11/2017        1/07/2017,
63039200,CURTAINS (INCLUDING DRAPES) AND INTERIOR BLINDS; CURTAIN OR BED VALANCES OTHER: OF SYNTHETIC FIBRES,12%,,15/11/2017        1/07/2017,
630399,OF OTHER TEXTILE MATERIALS,12%,,15/11/2017        1/07/2017,
63039910,CURTAINS (INCLUDING DRAPES) AND INTERIOR BLINDS; CURTAIN OR BED VALANCES OTHER: OF OTHER TEXTILE MATERIALS: SILK SHOWER CURTAINS,12%,,15/11/2017        1/07/2017,
63039990,CURTAINS (INCLUDING DRAPES) AND INTERIOR BLINDS; CURTAIN OR BED VALANCES OTHER: OF OTHER TEXTILE MATERIALS: OTHER,12%,,15/11/2017        1/07/2017,
6304,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 - BEDSPREADS(sale value not exceeding Rs. 1000 per piece)",5%,,01/07/2017,
6304,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 - BEDSPREADS(sale value exceeding Rs. 1000 per piece)",12%,,15/11/2017        1/07/2017,
63041100,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 BEDSPREADS: KNITTED OR CROCHETED",12%,,15/11/2017        1/07/2017,
630419,OTHER,12%,,15/11/2017        1/07/2017,
63041910,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 BEDSPREADS: OTHER: BEDSHEETS AND BEDCOVERS, OF COTTON",12%,,15/11/2017        1/07/2017,
63041920,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 BEDSPREADS: OTHER: BEDSPREADS OF SILK",12%,,15/11/2017        1/07/2017,
63041930,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 BEDSPREADS: OTHER: BEDSHEETS AND BEDCOVERS OF MAN-MADE FIBRES",12%,,15/11/2017        1/07/2017,
63041940,"BED SHEETS AND BED COVERS OF COTTON, HANDLOOM",12%,,15/11/2017        1/07/2017,
63041990,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 BEDSPREADS: OTHER: OTHER",12%,,15/11/2017        1/07/2017,
63042000,"BED NETS, OF WARP KNIT FABRICS SPECIFIED IN SUB-HEADING NOTE 1 TO THIS CHAPTER",12%,,15/11/2017        1/07/2017,
630491,KNITTED OR CROCHETED,12%,,15/11/2017        1/07/2017,
63049110,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 OTHER: KNITTED OR CROCHETED: SILK BELT",12%,,15/11/2017        1/07/2017,
63049120,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 OTHER: KNITTED OR CROCHETED:WOOLLEN CUSHION COVER",12%,,15/11/2017        1/07/2017,
63049190,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 OTHER: KNITTED OR CROCHETED: OTHER",12%,,15/11/2017        1/07/2017,
630492,"NOT KNITTED OR CROCHETD, OF COTTON",12%,,15/11/2017        1/07/2017,
63049211,COUNTERPANES OF HANDLOOM,12%,,15/11/2017        1/07/2017,
63049219,COUNTERPANES - OTHER THAN HANDLOOM,12%,,15/11/2017        1/07/2017,
63049221,NAPKINS OF HANDLOOM,12%,,15/11/2017        1/07/2017,
63049229,NAPKINS - OTHER THAN HANDLOOM,12%,,15/11/2017        1/07/2017,
63049231,PILLOW CASES AND PILLOW SLIPS - OF HANDLOOM,12%,,15/11/2017        1/07/2017,
63049239,PILLOW CASES AND PILLOW SLIPS - OTHER THAN HANDLOOM,12%,,15/11/2017        1/07/2017,
63049241,TABLE CLOTH AND TABLE COVERS - OF HANDLOOM,12%,,15/11/2017        1/07/2017,
63049249,TABLE CLOTH AND TABLE COVERS - OTHER THAN HANDLOOM,12%,,15/11/2017        1/07/2017,
63049250,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 OTHER: NOT KNITTED OR CROCHETED, OF COTTON: TERRY TOWEL",12%,,15/11/2017        1/07/2017,
63049260,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 OTHER: NOT KNITTED OR CROCHETED, OF COTTON: TOWELS, OTHER THAN TERRY TOWEL",12%,,15/11/2017        1/07/2017,
63049270,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404 OTHER: NOT KNITTED OR CROCHETED, OF COTTON: MOSQUITO NETS",12%,,15/11/2017        1/07/2017,
63049281,CUSHION COVERS OF HANDLOOM,12%,,15/11/2017        1/07/2017,
63049289,CUSHION COVERS - OTHER THAN HANDLOOM,12%,,15/11/2017        1/07/2017,
63049291,OTHER FURNISHING ARTICLES OF HANDLOOM,12%,,15/11/2017        1/07/2017,
