HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
28053000,"ALKALI OR ALKALINE-EARTH METALS; RARE-EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOT INTERMIXED OR INTERALLOYED; MERCURY - RARE-EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOT INTERMIXED OR INTERALLOYED",18%,,01/07/2017,
28054000,"ALKALI OR ALKALINE-EARTH METALS; RARE-EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOT INTERMIXED OR INTERALLOYED; MERCURY - MERCURY",18%,,01/07/2017,
2806,HYDROGEN CHLORIDE (HYDROCHLORIC ACID); CHLOROSULPHURIC ACID,18%,,01/07/2017,
28061000,HYDROGEN CHLORIDE (HYDROCHLORIC ACID); CHLOROSULPHURIC ACID - HYDROGEN CHLORIDE (HYDROCHLORIC ACID),18%,,01/07/2017,
28062000,HYDROGEN CHLORIDE (HYDROCHLORIC ACID); CHLOROSULPHURIC ACID - CHLOROSULPHURIC ACID,18%,,01/07/2017,
2807,SULPHURIC ACID; OLEUM,18%,,01/07/2017,
280700,SULPHURIC ACID; OLEUM,18%,,01/07/2017,
28070010,SULPHURIC ACID; OLEUM SULPHURIC ACID; OLEUM : SULPHURIC ACID,18%,,01/07/2017,
28070020,SULPHURIC ACID; OLEUM SULPHURIC ACID; OLEUM : OLEUM,18%,,01/07/2017,
2808,NITRIC ACID; SULPHONITRIC ACIDS,18%,,01/07/2017,
280800,NITRIC ACID; SULPHONITRIC ACIDS,18%,,01/07/2017,
28080010,NITRIC ACID; SULPHONITRIC ACIDS - NITRIC ACID; SULPHONITRIC ACIDS : NITRIC ACID,18%,,01/07/2017,
28080020,NITRIC ACID; SULPHONITRIC ACIDS - NITRIC ACID; SULPHONITRIC ACIDS : SULPHONITRIC ACIDS,18%,,01/07/2017,
2809,FERTILIZER GRADE PHOSPHORIC ACID,5%,,27/07/2018             25/01/2018,
2809,"DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID; POLYPHOSPHORIC ACIDS, WHETHER OR NOT CHEMICALLY DEFINED",18%,,01/07/2017,
