HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
31029010,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS OTHER, INCLUDING MIXTURES NOT SPECIFIED IN THE FOREGOING SUB-HEADINGS : DOUBLE SALTS OR MIXTURES OF CALCIUM NITRATE AND MAGNESIUM NITRATE",5%,,01/07/2017,
31029090,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS OTHER, INCLUDING MIXTURES NOT SPECIFIED IN THE FOREGOING SUB-HEADINGS : OTHER",5%,,01/07/2017,
3103,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC, OTHER THAN THOSE WHICH ARE CLEARLY NOT TO BE USED AS FERTILIZERS",5%,,01/07/2017,
3103,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC, WHICH ARE CLEARLY NOT TO BE USED AS FERTILIZERS",18%,,01/07/2017,
3103,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC",5%,,01/07/2017,
31031000,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC SUPERPHOSPHATES",5%,,01/07/2017,
31031100,CONTAINING BY WEIGHT 35 % OR MORE OF DIPHOSPHORUS PENTAOXIDE (P2O5),5%,,01/07/2017,
31031900,OTHER,5%,,01/07/2017,
31032000,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC BASIC SLAG",5%,,01/07/2017,
31039000,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC OTHER",5%,,01/07/2017,
3104,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC, OTHER THAN THOSE WHICH ARE CLEARLY NOT TO BE USED AS FERTILIZERS",5%,,01/07/2017,
3104,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC, WHICH ARE CLEARLY NOT TO BE USED AS FERTILIZERS",18%,,01/07/2017,
3104,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC",5%,,01/07/2017,
31041000,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC CARNALLITE, SYLVITE AND OTHER CRUDE NATURAL POTASSIUM SALTS",5%,,01/07/2017,
31042000,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC POTASSIUM CHLORIDE",5%,,01/07/2017,
31042000,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC POTASSIUM CHLORIDE",18%,,01/07/2017,
31043000,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC POTASSIUM SULPHATE",5%,,01/07/2017,
31043000,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC POTASSIUM SULPHATE",18%,,01/07/2017,
31049000,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC OTHER",5%,,01/07/2017,
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG; OTHER THAN THOSE WHICH ARE CLEARLY NOT TO BE USED AS FERTILIZERS",5%,,01/07/2017,
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG, WHICH ARE CLEARLY NOT TO BE USED AS FERTILIZERS",18%,,01/07/2017,
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG",5%,,01/07/2017,
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG",18%,,01/07/2017,
31051000,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG GOODS OF THIS CH",5%,,01/07/2017,
31051000,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG GOODS OF THIS CH",18%,,01/07/2017,
31052000,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG MINERAL OR CHEMI",5%,,01/07/2017,
31052000,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG MINERAL OR CHEMI",18%,,01/07/2017,
31053000,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG DIAMMONIUM HYDRO",5%,,01/07/2017,
31053000,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG DIAMMONIUM HYDRO",18%,,01/07/2017,
31054000,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG AMMONIUM DIHYDRO",5%,,01/07/2017,
31055100,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG OTHER MINERAL OR",18%,,01/07/2017,
31055900,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG OTHER MINERAL OR",5%,,01/07/2017,
31056000,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG MINERAL OR CHEMI",5%,,01/07/2017,
310590,OTHER,18%,,01/07/2017,
31059010,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG OTHER : MINERAL",5%,,01/07/2017,
31059090,"MINERAL OR CHEMICAL FERTILISERSCONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN,PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS;GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG OTHER : OTHER",18%,,01/07/2017,
